слой,орган,образец,идентификатор,группа,значение
органоид,желудок,137,ACH-003624,ENTRY adaptors,2.1491470336914062
органоид,желудок,138,ACH-003626,ENTRY adaptors,-6.380287170410156
органоид,желудок,139,ACH-003627,ENTRY adaptors,0.14775848388671875
органоид,желудок,140,ACH-003628,ENTRY adaptors,-3.959808349609375
органоид,желудок,141,ACH-003629,ENTRY adaptors,2.8126983642578125
органоид,желудок,142,ACH-003630,ENTRY adaptors,7.702018737792969
органоид,желудок,143,ACH-003631,ENTRY adaptors,-1.8455810546875
органоид,желудок,4,ACH-002730,ENTRY receptors,11.269611358642578
органоид,желудок,5,ACH-002731,ENTRY receptors,-5.023639678955078
органоид,желудок,6,ACH-002733,ENTRY receptors,-11.378410339355469
органоид,желудок,7,ACH-002734,ENTRY receptors,-3.251934051513672
органоид,желудок,8,ACH-002735,ENTRY receptors,11.158126831054688
органоид,желудок,9,ACH-002736,ENTRY receptors,8.737640380859375
органоид,желудок,10,ACH-002737,ENTRY receptors,4.386959075927734
органоид,желудок,16,ACH-002746,ENTRY receptors,5.077369689941406
органоид,желудок,17,ACH-002748,ENTRY receptors,6.714752197265625
органоид,желудок,18,ACH-002751,ENTRY receptors,5.988075256347656
органоид,желудок,19,ACH-002757,ENTRY receptors,0.30625343322753906
органоид,желудок,20,ACH-002777,ENTRY receptors,-3.7059383392333984
органоид,желудок,28,ACH-002919,ENTRY receptors,-1.5970878601074219
органоид,желудок,34,ACH-002952,ENTRY receptors,4.471580505371094
органоид,желудок,35,ACH-002955,ENTRY receptors,8.314525604248047
органоид,желудок,36,ACH-002957,ENTRY receptors,-0.25252532958984375
органоид,желудок,37,ACH-002958,ENTRY receptors,7.837684631347656
органоид,желудок,38,ACH-002962,ENTRY receptors,0.21491432189941406
органоид,желудок,39,ACH-002963,ENTRY receptors,-1.2397880554199219
органоид,желудок,40,ACH-002967,ENTRY receptors,2.4755516052246094
органоид,желудок,41,ACH-002968,ENTRY receptors,1.5017204284667969
органоид,желудок,42,ACH-002969,ENTRY receptors,4.532020568847656
органоид,желудок,43,ACH-002972,ENTRY receptors,-12.457015991210938
органоид,желудок,44,ACH-002978,ENTRY receptors,3.7435531616210938
органоид,желудок,45,ACH-002979,ENTRY receptors,6.677143096923828
органоид,желудок,46,ACH-002982,ENTRY receptors,2.020200729370117
органоид,желудок,128,ACH-003416,ENTRY receptors,-1.5796260833740234
органоид,желудок,129,ACH-003424,ENTRY receptors,2.2754135131835938
органоид,желудок,130,ACH-003425,ENTRY receptors,4.967229843139648
органоид,желудок,137,ACH-003624,ENTRY receptors,0.42848968505859375
органоид,желудок,138,ACH-003626,ENTRY receptors,12.580596923828125
органоид,желудок,139,ACH-003627,ENTRY receptors,2.8032989501953125
органоид,желудок,140,ACH-003628,ENTRY receptors,-5.949119567871094
органоид,желудок,141,ACH-003629,ENTRY receptors,7.372932434082031
органоид,желудок,142,ACH-003630,ENTRY receptors,9.11911392211914
