слой,орган,образец,идентификатор,группа,значение
органоид,желудок,143,ACH-003631,ENTRY receptors,4.078010559082031
органоид,желудок,4,ACH-002730,Inhibitory signals,4.613960266113281
органоид,желудок,5,ACH-002731,Inhibitory signals,1.8173770904541016
органоид,желудок,6,ACH-002733,Inhibitory signals,3.8295211791992188
органоид,желудок,7,ACH-002734,Inhibitory signals,3.6925086975097656
органоид,желудок,8,ACH-002735,Inhibitory signals,5.657642364501953
органоид,желудок,9,ACH-002736,Inhibitory signals,0.2834205627441406
органоид,желудок,10,ACH-002737,Inhibitory signals,7.174137115478516
органоид,желудок,16,ACH-002746,Inhibitory signals,11.203792572021484
органоид,желудок,17,ACH-002748,Inhibitory signals,6.3695526123046875
органоид,желудок,18,ACH-002751,Inhibitory signals,4.898719787597656
органоид,желудок,19,ACH-002757,Inhibitory signals,1.7851371765136719
органоид,желудок,20,ACH-002777,Inhibitory signals,6.399101257324219
органоид,желудок,28,ACH-002919,Inhibitory signals,7.554269790649414
органоид,желудок,34,ACH-002952,Inhibitory signals,3.6831092834472656
органоид,желудок,35,ACH-002955,Inhibitory signals,8.38168716430664
органоид,желудок,36,ACH-002957,Inhibitory signals,1.3888893127441406
органоид,желудок,37,ACH-002958,Inhibitory signals,2.3049659729003906
органоид,желудок,38,ACH-002962,Inhibitory signals,5.530033111572266
органоид,желудок,39,ACH-002963,Inhibitory signals,3.6011734008789062
органоид,желудок,40,ACH-002967,Inhibitory signals,9.681923866271973
органоид,желудок,41,ACH-002968,Inhibitory signals,5.485706329345703
органоид,желудок,42,ACH-002969,Inhibitory signals,6.169406890869141
органоид,желудок,43,ACH-002972,Inhibitory signals,2.8341941833496094
органоид,желудок,44,ACH-002978,Inhibitory signals,4.102195739746094
органоид,желудок,45,ACH-002979,Inhibitory signals,7.132495880126953
органоид,желудок,46,ACH-002982,Inhibitory signals,3.546100616455078
органоид,желудок,128,ACH-003416,Inhibitory signals,5.7462921142578125
органоид,желудок,129,ACH-003424,Inhibitory signals,10.772621154785156
органоид,желудок,130,ACH-003425,Inhibitory signals,4.9121551513671875
органоид,желудок,137,ACH-003624,Inhibitory signals,8.53884506225586
органоид,желудок,138,ACH-003626,Inhibitory signals,5.350048065185547
органоид,желудок,139,ACH-003627,Inhibitory signals,2.110198974609375
органоид,желудок,140,ACH-003628,Inhibitory signals,1.2706871032714844
органоид,желудок,141,ACH-003629,Inhibitory signals,24.754188537597656
органоид,желудок,142,ACH-003630,Inhibitory signals,2.9846343994140625
органоид,желудок,143,ACH-003631,Inhibitory signals,0.9026432037353516
органоид,желудок,4,ACH-002730,MHC-I presentation,-0.11148834228515625
органоид,желудок,5,ACH-002731,MHC-I presentation,-11.265581130981445
органоид,желудок,6,ACH-002733,MHC-I presentation,-1.9758758544921875
органоид,желудок,7,ACH-002734,MHC-I presentation,0.7683258056640625
органоид,желудок,8,ACH-002735,MHC-I presentation,11.530193328857422
органоид,желудок,9,ACH-002736,MHC-I presentation,4.781866073608398
органоид,желудок,10,ACH-002737,MHC-I presentation,9.758491516113281
органоид,желудок,16,ACH-002746,MHC-I presentation,1.743499755859375
органоид,желудок,17,ACH-002748,MHC-I presentation,10.294437408447266
органоид,желудок,18,ACH-002751,MHC-I presentation,10.478450775146484
органоид,желудок,19,ACH-002757,MHC-I presentation,-0.26461029052734375
органоид,желудок,20,ACH-002777,MHC-I presentation,10.725608825683594
органоид,желудок,28,ACH-002919,MHC-I presentation,8.421985626220703
органоид,желудок,34,ACH-002952,MHC-I presentation,0.5937042236328125
органоид,желудок,35,ACH-002955,MHC-I presentation,-1.5097808837890625
органоид,желудок,36,ACH-002957,MHC-I presentation,7.227867126464844
органоид,желудок,37,ACH-002958,MHC-I presentation,0.5211677551269531
органоид,желудок,38,ACH-002962,MHC-I presentation,11.339458465576172
органоид,желудок,39,ACH-002963,MHC-I presentation,-1.7891654968261719
органоид,желудок,40,ACH-002967,MHC-I presentation,8.657047271728516
органоид,желудок,41,ACH-002968,MHC-I presentation,-0.33446502685546875
органоид,желудок,42,ACH-002969,MHC-I presentation,10.898883819580078
органоид,желудок,43,ACH-002972,MHC-I presentation,-0.9496574401855469
органоид,желудок,44,ACH-002978,MHC-I presentation,2.605846405029297
органоид,желудок,45,ACH-002979,MHC-I presentation,12.21255111694336
органоид,желудок,46,ACH-002982,MHC-I presentation,-4.203609466552734
