layer,gene,score_pp
3D dome models,PROM1,50.5916891098
3D dome models,PRSS12,8.75241756439
3D dome models,PTPRB,-1.92550563812
3D dome models,PUM3,-2.04841423035
3D dome models,RAB5A,5.2130355835
3D dome models,RANBP2,-1.09539604187
3D dome models,RARA,1.52186870575
3D dome models,RASSF6,16.2798204422
3D dome models,REX1BD,-19.7251768112
3D dome models,RNASEH2B,0.270658493042
3D dome models,RPGRIP1L,1.34523582458
3D dome models,RPL7,0.989948272705
3D dome models,S100G,0
3D dome models,SAGE1,0
3D dome models,SCAMP1,2.23310279846
3D dome models,SCAPER,-0.0987281799316
3D dome models,SCTR,0
3D dome models,SDHA,-2.06922531128
3D dome models,SLC16A14,-1.35127830505
3D dome models,SLC1A2,2.80867099762
3D dome models,SLC1A5,-0.401622772217
3D dome models,SLC35C1,5.70331001282
3D dome models,SLC35D1,-0.0248508453369
3D dome models,SLC7A9,1.82745027542
3D dome models,SMIM40,0
3D dome models,SOBP,1.23106193542
3D dome models,SPATA9,-2.57830905914
3D dome models,SPRY3,-0.0329084396362
3D dome models,SRCAP,-15.5282917023
3D dome models,SULT1E1,9.61644458771
3D dome models,SYNDIG1,0
3D dome models,TAFA3,-6.16705608368
3D dome models,TAS2R8,0
3D dome models,TBCEL,-1.31635665894
3D dome models,TCF24,2.9994096756
3D dome models,TCL1A,-12.6121585369
3D dome models,TCP11X2,0
3D dome models,TGFBR2,3.70795726776
3D dome models,TGM7,0
3D dome models,TIGD5,-0.478857040405
3D dome models,TMEM192,5.7603969574
3D dome models,TMEM241,-0.390206336975
3D dome models,TMEM266,-3.70862865448
3D dome models,TNFAIP2,2.22236251831
3D dome models,TNRC6A,-14.0547742844
3D dome models,TP53TG3B,0
3D dome models,TRA2B,-0.751527786255
3D dome models,TRIM49B,0
3D dome models,TULP1,-10.8888084888
3D dome models,UBA5,-9.11005210876
3D dome models,UBE2D2,0.402965545654
3D dome models,UBE2M,-1.03830909729
3D dome models,UNC80,0.672952651978
3D dome models,UQCC1,-0.746158599854
3D dome models,USP35,-4.18144321442
3D dome models,USP9Y,0
3D dome models,VCX2,0
3D dome models,VIPR2,0
3D dome models,VLDLR,6.58882808685
3D dome models,WAPL,-1.14442443848
3D dome models,ZBTB47,-4.57769012451
3D dome models,ZFP64,-5.05789470673
3D dome models,ZNF132,0.131635665894
3D dome models,ZNF222,3.56154727936
3D dome models,ZNF26,-3.9739151001
3D dome models,ZNF319,-0.60847568512
3D dome models,ZNF335,-7.27353191376
3D dome models,ZNF396,3.68646621704
3D dome models,ZNF491,3.25059080124
3D dome models,ZNF582,3.30499172211
3D dome models,ZNF688,3.30902099609
3D dome models,ZNF718,-1.25859451294
3D dome models,ZRANB2,-3.74355125427
2D adherent models,ABCG8,-0.269315242767
2D adherent models,ACER2,-0.0799207687378
2D adherent models,ADAMTS12,0.189393997192
2D adherent models,ADCYAP1R1,0
2D adherent models,ADGRG1,0.0624580383301
2D adherent models,ADPRHL1,-0.157156944275
2D adherent models,AGAP4,-0.0658187866211
2D adherent models,AHRR,-0.07790184021
2D adherent models,AKAP9,0.0926818847656
2D adherent models,ALDH16A1,-0.0651473999023
2D adherent models,AMHR2,0
2D adherent models,AMY1C,0
2D adherent models,ANLN,-0.157157897949
2D adherent models,ARL4A,0.0517158508301
2D adherent models,ASS1,0.0779075622559
2D adherent models,ATP5PD,-0.0476875305176
2D adherent models,ATRNL1,-0.116189956665
2D adherent models,B3GNT7,0.265956878662
2D adherent models,BBS10,-0.0470123291016
2D adherent models,BICC1,0.132306098938
2D adherent models,BLOC1S3,-0.0913391113281
2D adherent models,BTBD16,0.00268650054932
2D adherent models,BTC,-0.241781234741
2D adherent models,C12orf56,0.332448005676
2D adherent models,CACNG2,0
2D adherent models,CCNB3,0.0382804870605
2D adherent models,CCNG1,0.0711936950684
2D adherent models,CCNQ,0.169244766235
2D adherent models,CCR6,0
2D adherent models,CD40,-0.531579971313
2D adherent models,CD8B,0
2D adherent models,CDCP2,0
2D adherent models,CDNF,-0.0973825454712
2D adherent models,CENPH,0.0762271881104
2D adherent models,CEP44,-0.0201482772827
2D adherent models,CEP68,0.0120887756348
2D adherent models,CFAP69,-0.0241785049438
2D adherent models,CIRBP,-0.0282115936279
2D adherent models,CNGA2,0
2D adherent models,CNTRL,0.137681007385
2D adherent models,COL15A1,0
2D adherent models,CSNK1A1,-0.0745449066162
2D adherent models,CSRP2,0.131299972534
2D adherent models,CTRB1,0.0591020584106
2D adherent models,CXorf66,0
2D adherent models,CYP11B1,0
2D adherent models,CYP3A5,0.0376091003418
2D adherent models,DEFB126,0
2D adherent models,DENND10,-0.106111526489
2D adherent models,DPH2,-0.106119155884
2D adherent models,DUSP3,0.00335884094238
2D adherent models,EDA2R,0.0107460021973
2D adherent models,EDNRB,0.0725336074829
2D adherent models,EEF1B2,0.444604873657
2D adherent models,ENPP1,0.138688087463
2D adherent models,FAHD1,0.191404342651
2D adherent models,FAM161B,-0.177974700928
2D adherent models,FBXO2,0.152459144592
2D adherent models,FCRL5,0
2D adherent models,FGF16,0
2D adherent models,FOXJ3,-0.073205947876
2D adherent models,FOXO1,-0.0698480606079
2D adherent models,FSHR,0
2D adherent models,FTMT,0
2D adherent models,FXR2,-0.128942489624
2D adherent models,FYB1,0.0456705093384
2D adherent models,GANAB,-0.0852928161621
2D adherent models,GAS1,0.218945980072
2D adherent models,GBF1,0.0147743225098
2D adherent models,GPNMB,-0.153128623962
2D adherent models,GPR137,0.151781082153
2D adherent models,GPR45,0.0577573776245
2D adherent models,GRIA1,0
2D adherent models,GRIN2D,-0.0174617767334
2D adherent models,GUCD1,0.0362663269043
2D adherent models,HES4,0.0523853302002
2D adherent models,HMOX2,0.338493347168
2D adherent models,HNRNPU,-0.0369396209717
2D adherent models,IQSEC3,-0.00335836410522
2D adherent models,IYD,0
2D adherent models,IZUMO3,0
2D adherent models,KHDC4,-0.025520324707
2D adherent models,KLLN,-0.161187171936
2D adherent models,KNOP1,0.0188026428223
