слой,орган,organ_en,ModelID,OncotreeCode,OncotreePrimaryDisease,GrowthPattern
2D,панкреас,Pancreas,ACH-000347,PANET,Pancreatic Neuroendocrine Tumor,Adherent
2D,кишка,Colon,ACH-001399,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000298,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,лёгкое,Lung,ACH-000251,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-002526,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000350,COAD,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000663,CCOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000826,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000291,SOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-001458,COAD,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000721,IDC,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000970,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000886,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000003,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000888,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000669,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000844,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,кишка,Colon,ACH-002659,MACR,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000030,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000589,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000950,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000925,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000409,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,желудок,Stomach,ACH-000616,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000628,LUAS,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000510,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000959,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000820,COAD,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-002524,EOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000264,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,кишка,Colon,ACH-000967,COAD,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000796,MOV,Ovarian Epithelial Tumor,Adherent
2D,панкреас,Pancreas,ACH-001353,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-002538,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000060,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000001,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-000957,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-001591,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,кишка,Colon,ACH-002535,READ,Colorectal Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000097,IDC,Invasive Breast Carcinoma,Adherent
2D,яичник,Ovary,ACH-000256,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000859,DCIS,Breast Ductal Carcinoma In Situ,Adherent
2D,лёгкое,Lung,ACH-002035,NSCLCPD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-001719,CCOV,Ovarian Epithelial Tumor,Adherent
2D,панкреас,Pancreas,ACH-000243,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-001418,SOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000927,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000502,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000935,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000843,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-000761,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,желудок,Stomach,ACH-000466,TSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000840,LUAS,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-001151,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000701,MOV,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000542,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-001632,SOC,Ovarian Epithelial Tumor,Adherent
2D,панкреас,Pancreas,ACH-000468,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-002399,IDC,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000912,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,лёгкое,Lung,ACH-000667,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-001048,SOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000015,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000791,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-001391,BRCA,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000768,BRCA,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000288,BRCNOS,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000872,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-001662,BRCANOS,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000349,DCIS,Breast Ductal Carcinoma In Situ,Adherent
2D,яичник,Ovary,ACH-000524,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000527,CCOV,Ovarian Epithelial Tumor,Adherent
2D,яичник,Ovary,ACH-000885,CCOV,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000900,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000029,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000718,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000278,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000934,BRCA,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000202,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-001379,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000114,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000320,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000532,READ,Colorectal Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000696,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000781,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000747,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,желудок,Stomach,ACH-003437,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000417,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-002669,COAD,Colorectal Adenocarcinoma,Adherent
органоид,панкреас,Pancreas,ACH-002421,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002424,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002426,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002448,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002730,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002731,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002733,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002734,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002735,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002736,DSTAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002737,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002738,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002742,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002743,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002744,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002745,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002746,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002748,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002751,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002757,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002777,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-002839,COAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-002840,COAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-002841,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-002882,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002883,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002884,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002885,IDC,Invasive Breast Carcinoma,Dome
органоид,желудок,Stomach,ACH-002919,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-002947,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002948,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002949,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002950,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-002951,BRCA,Invasive Breast Carcinoma,Dome
органоид,желудок,Stomach,ACH-002952,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002955,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002957,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002958,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002962,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002963,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002967,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002968,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002969,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002972,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002978,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002979,DSTAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-002982,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-002999,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003000,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,яичник,Ovary,ACH-003001,LGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003003,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003005,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003007,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003009,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003011,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,панкреас,Pancreas,ACH-003013,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003014,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003015,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-003022,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003023,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003024,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003026,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003027,ILC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003030,BRCA,Invasive Breast Carcinoma,Dome
органоид,панкреас,Pancreas,ACH-003031,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003035,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003036,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003039,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003040,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003041,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003044,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003045,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003046,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003047,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,яичник,Ovary,ACH-003050,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003051,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003053,LGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003054,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,яичник,Ovary,ACH-003056,HGSOC,Ovarian Epithelial Tumor,Dome
органоид,панкреас,Pancreas,ACH-003122,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003126,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-003127,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003129,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003130,BRCA,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003131,BRCA,Invasive Breast Carcinoma,Dome
органоид,панкреас,Pancreas,ACH-003193,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-003210,DCIS,Breast Ductal Carcinoma In Situ,Dome
органоид,молочная,Breast,ACH-003215,MDLC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003216,IDC,Invasive Breast Carcinoma,Dome
органоид,панкреас,Pancreas,ACH-003331,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003332,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003333,MACR,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003334,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003335,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003336,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003337,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003341,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003342,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003345,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003346,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003348,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,яичник,Ovary,ACH-003350,MOV,Ovarian Epithelial Tumor,Dome
органоид,молочная,Breast,ACH-003359,IDC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003360,BRCA,Invasive Breast Carcinoma,Dome
органоид,кишка,Colon,ACH-003363,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003364,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003365,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003366,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003367,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003369,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003370,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003371,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003373,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-003374,BRCA,Invasive Breast Carcinoma,Dome
органоид,панкреас,Pancreas,ACH-003378,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003379,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003380,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003382,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003386,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003387,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003388,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003389,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003390,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003391,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003399,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003400,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003401,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003402,COADREAD,Colorectal Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003416,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003424,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003425,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003432,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003434,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003466,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003467,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003477,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,панкреас,Pancreas,ACH-003479,PAAD,Pancreatic Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003624,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003626,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003627,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003628,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003629,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003630,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,желудок,Stomach,ACH-003631,STAD,Esophagogastric Adenocarcinoma,Dome
органоид,молочная,Breast,ACH-003704,BRCA,Invasive Breast Carcinoma,Dome
органоид,кишка,Colon,ACH-003705,COAD,Colorectal Adenocarcinoma,Dome
органоид,кишка,Colon,ACH-003707,COAD,Colorectal Adenocarcinoma,Dome
органоид,лёгкое,Lung,ACH-003720,LUAD,Non-Small Cell Lung Cancer,Dome
органоид,лёгкое,Lung,ACH-003721,LUAD,Non-Small Cell Lung Cancer,Dome
органоид,яичник,Ovary,ACH-003723,MOV,Ovarian Epithelial Tumor,Dome
органоид,молочная,Breast,ACH-003834,MDLC,Invasive Breast Carcinoma,Dome
органоид,молочная,Breast,ACH-003839,MDLC,Invasive Breast Carcinoma,Dome
