ген,орган,здоровая,пациент,органоид,2D,группа
TAP1,лёгкое,-12.452314376831055,9.053298950195312,13.766651153564453,-0.4056549072265625,MHC-I presentation
TAP2,лёгкое,-22.990543365478516,-14.598106384277344,-3.4373016357421875,-0.53997802734375,MHC-I presentation
TAPBP,лёгкое,16.158260345458984,13.080268859863281,5.341983795166016,-0.21222686767578125,MHC-I presentation
MICA,лёгкое,-15.385906219482422,-5.864498138427734,4.4742584228515625,0.43520355224609375,NK activating ligands
MICB,лёгкое,-27.301605224609375,-15.73715591430664,-2.4070472717285156,0.1370086669921875,NK activating ligands
NECTIN2,лёгкое,16.89165496826172,9.402542114257812,7.54351806640625,-0.11551666259765625,NK activating ligands
PVR,лёгкое,-6.80877685546875,-19.78293228149414,-10.134586334228516,0.0617828369140625,NK activating ligands
RAET1E,лёгкое,-7.83298397064209,-4.859767913818359,-7.246668815612793,-0.20148086547851562,NK activating ligands
ULBP1,лёгкое,-20.107322692871094,-13.789487838745117,1.8831958770751953,0.17730712890625,NK activating ligands
ULBP2,лёгкое,-35.82836151123047,-13.620243072509766,9.581182479858398,0.6125068664550781,NK activating ligands
ULBP3,лёгкое,-18.91924476623535,-31.72415542602539,-0.9415950775146484,-0.40296173095703125,NK activating ligands
BID,молочная,11.653099060058594,1.5205268859863281,-3.0571670532226562,-0.25521087646484375,ENTRY adaptors
CASP10,молочная,-1.6924552917480469,0.0,4.703952789306641,0.20685577392578125,ENTRY adaptors
CASP8,молочная,2.850311279296875,-2.5548057556152344,1.8093147277832031,0.25521087646484375,ENTRY adaptors
FADD,молочная,-13.569204330444336,-3.2613372802734375,-2.417797088623047,-0.01612091064453125,ENTRY adaptors
TRADD,молочная,2.914112091064453,11.014400482177734,1.8093185424804688,-0.13701629638671875,ENTRY adaptors
FAS,молочная,13.450328826904297,-8.131851196289062,20.23089599609375,0.21491622924804688,ENTRY receptors
TNFRSF10A,молочная,16.374515533447266,-6.087469100952148,4.6354522705078125,1.2948646545410156,ENTRY receptors
TNFRSF10B,молочная,18.04077911376953,-14.670642852783203,9.343433380126953,0.6017684936523438,ENTRY receptors
TNFRSF1A,молочная,4.3721771240234375,-2.9147872924804688,-3.0397071838378906,0.282073974609375,ENTRY receptors
BCL2,молочная,52.12027359008789,32.95723342895508,5.280195236206055,0.6635513305664062,BRAKES
BCL2L1,молочная,1.3371734619140625,0.4150543212890625,1.464111328125,-0.18267822265625,BRAKES
BIRC2,молочная,12.747821807861328,4.579036712646484,3.0746307373046875,-0.5131149291992188,BRAKES
BIRC3,молочная,48.244407653808594,12.980871200561523,8.8236083984375,0.4325141906738281,BRAKES
CFLAR,молочная,22.480125427246094,8.905548095703125,1.9167747497558594,-0.06179046630859375,BRAKES
MCL1,молочная,9.448875427246094,3.902050018310547,3.3849105834960938,0.13970184326171875,BRAKES
TNFAIP3,молочная,38.857994079589844,17.661991119384766,15.447025299072266,0.24177932739257812,BRAKES
XIAP,молочная,18.979690551757812,18.085105895996094,-2.9523983001708984,-0.7924957275390625,BRAKES
CASP3,молочная,0.22298049926757812,-4.784553527832031,3.341930389404297,-0.19342041015625,Apoptosis executioners
