gene	organ	identical_control_set	self_included_baseline	self_included_corrected	controls	control_set_sha256_prefix_baseline	control_set_sha256_prefix_corrected
TAP1	large_intestine	True	0	0	400	1f74989446f75d43	1f74989446f75d43
TAP2	large_intestine	True	0	0	400	2474d0c5ccd004e9	2474d0c5ccd004e9
TAPBP	large_intestine	True	0	0	400	332e47a4017645ac	332e47a4017645ac
TNFAIP3	large_intestine	True	0	0	400	ceaf3b7f5ea2d539	ceaf3b7f5ea2d539
TNFRSF10A	large_intestine	True	0	0	400	6dfb0565719848d0	6dfb0565719848d0
TNFRSF10B	large_intestine	True	0	0	400	cd02873eba426358	cd02873eba426358
TNFRSF1A	large_intestine	True	0	0	400	8d5c4e9e6d6673cc	8d5c4e9e6d6673cc
TRADD	large_intestine	True	0	0	400	167441aa690510a9	167441aa690510a9
ULBP1	large_intestine	True	0	0	400	64e6b913092a8f4f	64e6b913092a8f4f
ULBP2	large_intestine	True	0	0	400	e4ca62043f8f87a2	e4ca62043f8f87a2
ULBP3	large_intestine	True	0	0	400	990c72a1830f3047	990c72a1830f3047
XIAP	large_intestine	True	0	0	400	addd060278668a82	addd060278668a82
ZBP1	large_intestine	True	0	0	400	8f87b1ba118f10a3	8f87b1ba118f10a3
AIM2	lung	True	0	0	400	e8ce839f560bdfe0	e8ce839f560bdfe0
APAF1	lung	True	0	0	400	766f876e6f2bdbb5	766f876e6f2bdbb5
B2M	lung	True	0	0	400	e6dd85d4b8b80975	e6dd85d4b8b80975
BAK1	lung	True	0	0	400	5bb8208f10bfb160	5bb8208f10bfb160
BAX	lung	True	0	0	400	aa715d8b7d1faf0f	aa715d8b7d1faf0f
BCL2	lung	True	0	0	400	42407e359b554d3d	42407e359b554d3d
BCL2L1	lung	True	0	0	400	cf3877123648faf3	cf3877123648faf3
BID	lung	True	0	0	400	6b4e76425d3ab847	6b4e76425d3ab847
BIRC2	lung	True	0	0	400	ba80a14c6d6ecd1b	ba80a14c6d6ecd1b
BIRC3	lung	True	0	0	400	b48cd82eae8a631c	b48cd82eae8a631c
CALR	lung	True	0	0	400	cde795d2f0aba911	cde795d2f0aba911
CASP1	lung	True	0	0	400	c0318ca2b5c7ce6a	c0318ca2b5c7ce6a
CASP10	lung	True	0	0	400	261dae32a6b5bc26	261dae32a6b5bc26
CASP3	lung	True	0	0	400	a2dcccdf50775c07	a2dcccdf50775c07
CASP4	lung	True	0	0	400	47b319a80410949a	47b319a80410949a
CASP5	lung	True	0	0	400	b6961ed71bda7a3e	b6961ed71bda7a3e
CASP6	lung	True	0	0	400	8e93a5eaeca09d63	8e93a5eaeca09d63
CASP7	lung	True	0	0	400	dbae01c9f8e036ac	dbae01c9f8e036ac
CASP8	lung	True	0	0	400	7930c266b5abd32f	7930c266b5abd32f
CASP9	lung	True	0	0	400	ee4aea7cb70021d7	ee4aea7cb70021d7
CD274	lung	True	0	0	400	5dc57a14c48395b5	5dc57a14c48395b5
CD47	lung	True	0	0	400	b131cfc6fad84fa7	b131cfc6fad84fa7
CEACAM1	lung	True	0	0	400	828a74e69b858756	828a74e69b858756
CFLAR	lung	True	0	0	400	4cfbcd0a10415bcc	4cfbcd0a10415bcc
CYCS	lung	True	0	0	400	67f6485cf56744ea	67f6485cf56744ea
DIABLO	lung	True	0	0	400	28a62bb6b76ac72f	28a62bb6b76ac72f
ERAP1	lung	True	0	0	400	e20d4054d6657134	e20d4054d6657134
FADD	lung	True	0	0	400	2af66bff78cfaf4c	2af66bff78cfaf4c
FAS	lung	True	0	0	400	1704bdba2057f4aa	1704bdba2057f4aa
GSDMB	lung	True	0	0	400	92645d9b7bddbdea	92645d9b7bddbdea
GSDMD	lung	True	0	0	400	6ea52b74d41482a2	6ea52b74d41482a2
GSDME	lung	True	0	0	400	1655810535c7b020	1655810535c7b020
HLA-A	lung	True	0	0	400	a969b3e489088e85	a969b3e489088e85
HLA-B	lung	True	0	0	400	8453b334cce2bb15	8453b334cce2bb15
HLA-C	lung	True	0	0	400	b40ef8f668141e7a	b40ef8f668141e7a
HLA-E	lung	True	0	0	400	940aa92a687aaab4	940aa92a687aaab4
LGALS9	lung	True	0	0	400	363b11869c5ef445	363b11869c5ef445
MCL1	lung	True	0	0	400	a065f3b06975f1b7	a065f3b06975f1b7
MICA	lung	True	0	0	400	da1a87bbd678f6b8	da1a87bbd678f6b8
MICB	lung	True	0	0	400	afa886a63c258d3c	afa886a63c258d3c
MLKL	lung	True	0	0	400	7406b986fe55d750	7406b986fe55d750
NECTIN2	lung	True	0	0	400	2d95ddef558cc063	2d95ddef558cc063
NLRC4	lung	True	0	0	400	c5f07a6a60f74ef5	c5f07a6a60f74ef5
NLRC5	lung	True	0	0	400	bd6ef7b8869ca416	bd6ef7b8869ca416
NLRP3	lung	True	0	0	400	d92df6bd8df7a5da	d92df6bd8df7a5da
PDCD1LG2	lung	True	0	0	400	6499056ba2ebf24f	6499056ba2ebf24f
PGAM5	lung	True	0	0	400	23186ad4f5de53e0	23186ad4f5de53e0
PSMB8	lung	True	0	0	400	a08e4ce002db958f	a08e4ce002db958f
PSMB9	lung	True	0	0	400	d8086f35f51eb0d0	d8086f35f51eb0d0
PVR	lung	True	0	0	400	2666605843742693	2666605843742693
PYCARD	lung	True	0	0	400	6c2479e10b837a5f	6c2479e10b837a5f
RAET1E	lung	True	0	0	400	2e362827df874d7c	2e362827df874d7c
RIPK1	lung	True	0	0	400	1f7ee4202d72e0e4	1f7ee4202d72e0e4
RIPK3	lung	True	0	0	400	7ccf1bfdbb25b15a	7ccf1bfdbb25b15a
TAP1	lung	True	0	0	400	ff5306e5d9ce0508	ff5306e5d9ce0508
TAP2	lung	True	0	0	400	d46b23362b9a80c4	d46b23362b9a80c4
TAPBP	lung	True	0	0	400	273874a2098c1d97	273874a2098c1d97
TNFAIP3	lung	True	0	0	400	0a02464e17e0f2b9	0a02464e17e0f2b9
TNFRSF10A	lung	True	0	0	400	a434325076a53db3	a434325076a53db3
TNFRSF10B	lung	True	0	0	400	b7a92380aba1dee5	b7a92380aba1dee5
TNFRSF1A	lung	True	0	0	400	c3136cd0b2aee27b	c3136cd0b2aee27b
TRADD	lung	True	0	0	400	6dbe0afc8b92bc2c	6dbe0afc8b92bc2c
ULBP1	lung	True	0	0	400	01244e00022aa68a	01244e00022aa68a
ULBP2	lung	True	0	0	400	39e68edc23e5852a	39e68edc23e5852a
ULBP3	lung	True	0	0	400	64da5c1ae40465b6	64da5c1ae40465b6
XIAP	lung	True	0	0	400	0ac13f56831d5e49	0ac13f56831d5e49
ZBP1	lung	True	0	0	400	c5819d6bd7f6aba7	c5819d6bd7f6aba7
AIM2	breast	True	0	0	400	aeec1c118a9a2720	aeec1c118a9a2720
APAF1	breast	True	0	0	400	1628b8627854631d	1628b8627854631d
B2M	breast	True	0	0	400	59e8655c47050a75	59e8655c47050a75
BAK1	breast	True	0	0	400	1fbe19741e33ef1b	1fbe19741e33ef1b
BAX	breast	True	0	0	400	ff8760ebf9a3f0bd	ff8760ebf9a3f0bd
BCL2	breast	True	0	0	400	24e67cd551750679	24e67cd551750679
BCL2L1	breast	True	0	0	400	bce9072e1659957c	bce9072e1659957c
BID	breast	True	0	0	400	9ab12f5b58b7f0c5	9ab12f5b58b7f0c5
BIRC2	breast	True	0	0	400	2bfc3eb6a845aaa6	2bfc3eb6a845aaa6
BIRC3	breast	True	0	0	400	6e3b275de69d4cff	6e3b275de69d4cff
CALR	breast	True	0	0	400	7ff77703052dab21	7ff77703052dab21
CASP1	breast	True	0	0	400	a577c297a50220ad	a577c297a50220ad
CASP10	breast	True	0	0	400	9d8d82e56b4d3f38	9d8d82e56b4d3f38
CASP3	breast	True	0	0	400	0b59897768f885e3	0b59897768f885e3
CASP4	breast	True	0	0	400	a40cfc34b9bb8ac8	a40cfc34b9bb8ac8
CASP5	breast	True	0	0	400	cdf95e4c63b63831	cdf95e4c63b63831
CASP6	breast	True	0	0	400	08fc64acb542160e	08fc64acb542160e
CASP7	breast	True	0	0	400	9958731f960fd62e	9958731f960fd62e
CASP8	breast	True	0	0	400	e559fa0b45ec83d8	e559fa0b45ec83d8
CASP9	breast	True	0	0	400	632138c6f676ceeb	632138c6f676ceeb
CD274	breast	True	0	0	400	5dbcecf12446ac2f	5dbcecf12446ac2f
CD47	breast	True	0	0	400	e55c53d4f10f2033	e55c53d4f10f2033
CEACAM1	breast	True	0	0	400	52ea12ec529dc22e	52ea12ec529dc22e
CFLAR	breast	True	0	0	400	9ba6e0b04461a32b	9ba6e0b04461a32b
CYCS	breast	True	0	0	400	bad1de5afdc4d564	bad1de5afdc4d564
DIABLO	breast	True	0	0	400	8fb996f676754aac	8fb996f676754aac
ERAP1	breast	True	0	0	400	5a934e7f0351131c	5a934e7f0351131c
FADD	breast	True	0	0	400	8d4b07ddcb346646	8d4b07ddcb346646
FAS	breast	True	0	0	400	c8b6d057e3427b0d	c8b6d057e3427b0d
GSDMB	breast	True	0	0	400	eb69fb08f8051c0f	eb69fb08f8051c0f
GSDMD	breast	True	0	0	400	2001aa14f769e142	2001aa14f769e142
GSDME	breast	True	0	0	400	8f6c95ff31fb34a1	8f6c95ff31fb34a1
HLA-A	breast	True	0	0	400	d8ead5b259cd1a42	d8ead5b259cd1a42
HLA-B	breast	True	0	0	400	ed550da011009e0d	ed550da011009e0d
HLA-C	breast	True	0	0	400	154ea62162a21a19	154ea62162a21a19
HLA-E	breast	True	0	0	400	577a90c3a9e68d61	577a90c3a9e68d61
LGALS9	breast	True	0	0	400	de2626ecb8fae0ec	de2626ecb8fae0ec
MCL1	breast	True	0	0	400	76f67fc1f7f1daac	76f67fc1f7f1daac
MICA	breast	True	0	0	400	fd038d0282e3cee9	fd038d0282e3cee9
MICB	breast	True	0	0	400	4842fea1d5407fe2	4842fea1d5407fe2
MLKL	breast	True	0	0	400	a36b7e55e3c4fa4f	a36b7e55e3c4fa4f
NECTIN2	breast	True	0	0	400	746c05a6316e68ce	746c05a6316e68ce
NLRC4	breast	True	0	0	400	1e006a65da044936	1e006a65da044936
NLRC5	breast	True	0	0	400	c161b84275cb2b5e	c161b84275cb2b5e
NLRP3	breast	True	0	0	400	f09beb0b19b03978	f09beb0b19b03978
PDCD1LG2	breast	True	0	0	400	2e8e8a8f3f17367e	2e8e8a8f3f17367e
PGAM5	breast	True	0	0	400	a4a36e7bc1849476	a4a36e7bc1849476
PSMB8	breast	True	0	0	400	98a76ce68837bed1	98a76ce68837bed1
PSMB9	breast	True	0	0	400	50f7a8bd9dc2ccb6	50f7a8bd9dc2ccb6
PVR	breast	True	0	0	400	92ff1c87605ed2e1	92ff1c87605ed2e1
PYCARD	breast	True	0	0	400	970e91d109b0f2a3	970e91d109b0f2a3
RAET1E	breast	True	0	0	400	fab1f74052f298e8	fab1f74052f298e8
RIPK1	breast	True	0	0	400	aace3596a8d0378a	aace3596a8d0378a
RIPK3	breast	True	0	0	400	25be8eb8ae9b7caa	25be8eb8ae9b7caa
TAP1	breast	True	0	0	400	d29988ff7f4c4664	d29988ff7f4c4664
TAP2	breast	True	0	0	400	202eb8f9bcdad7cf	202eb8f9bcdad7cf
TAPBP	breast	True	0	0	400	07e0c5b2993b51f6	07e0c5b2993b51f6
TNFAIP3	breast	True	0	0	400	bbcf9581e8370bee	bbcf9581e8370bee
TNFRSF10A	breast	True	0	0	400	e83fc2a38284853d	e83fc2a38284853d
TNFRSF10B	breast	True	0	0	400	4e4a8d551767c897	4e4a8d551767c897
TNFRSF1A	breast	True	0	0	400	16dbb963fb3b1a6c	16dbb963fb3b1a6c
TRADD	breast	True	0	0	400	9a235c473d80ff64	9a235c473d80ff64
ULBP1	breast	True	0	0	400	535223d2237d75c9	535223d2237d75c9
ULBP2	breast	True	0	0	400	4d0900582c1e3afd	4d0900582c1e3afd
ULBP3	breast	True	0	0	400	bed6b49ed4bcd3eb	bed6b49ed4bcd3eb
XIAP	breast	True	0	0	400	c06ded994886102b	c06ded994886102b
ZBP1	breast	True	0	0	400	fb8a1936bf693585	fb8a1936bf693585
AIM2	pancreas	True	0	0	400	09dccb15f2c6519e	09dccb15f2c6519e
APAF1	pancreas	True	0	0	400	b4fc53a6c74ad505	b4fc53a6c74ad505
B2M	pancreas	True	0	0	400	803d218f8ac56a9f	803d218f8ac56a9f
BAK1	pancreas	True	0	0	400	fc2ec10c776a58e5	fc2ec10c776a58e5
BAX	pancreas	True	0	0	400	bca6708086f23605	bca6708086f23605
BCL2	pancreas	True	0	0	400	8eacb77245e3ad22	8eacb77245e3ad22
BCL2L1	pancreas	True	0	0	400	6015a7df7704f4cd	6015a7df7704f4cd
